Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,RE_URL
"$650,000 = $700,000 AUCTION (UNLESS SOLD PRIOR)","58 Villager Street, Cranbourne East",House,4,2,4,,,Myles Johansson,https://www.realestate.com.au/property-house-vic-cranbourne+east-146578044
"$650,000 - $715,000","8 Azure Court, Pakenham",House,3,2,2,,,Tain Bartholomew,https://www.realestate.com.au/property-house-vic-pakenham-146818560
"$620,000 - $680,000","12 Clarendon Street, Pakenham",House,3,2,2,,,Fabian Villella,https://www.realestate.com.au/property-house-vic-pakenham-146818504
"$585,000 - $630,000","2 Harlesden Circuit, Pakenham",House,3,2,2,,,Troy Farrell,https://www.realestate.com.au/property-house-vic-pakenham-146781360
"$570,000 - $620,000","35 Sandy Road, Officer",House,3,2,2,,,Terri Fellows,https://www.realestate.com.au/property-house-vic-officer-146713944
"$550,000 - $600,000","3 Aileron Alley, Cranbourne North",House,3,2,2,,,Marsh Schwallie,https://www.realestate.com.au/property-house-vic-cranbourne+north-146713772
"$570,000 - $625,000","3 Zeppelin Way, Beaconsfield",House,3,2,1,,,Michael Panayi,https://www.realestate.com.au/property-house-vic-beaconsfield-146713444
$620K - $650K! Plans and Permits 3 Townhouses,"14 Roma Avenue, Cranbourne",House,3,2,5,,,Vas Selvaraj,https://www.realestate.com.au/property-house-vic-cranbourne-146297016
"$599,000 - $658,900","4 Cercis Court, Doveton",House,3,2,1,,,Habib Sultani,https://www.realestate.com.au/property-house-vic-doveton-146147872
"$579,000","1/5 Karrala Court, Drouin",House,3,2,3,,,Clare Rocke,https://www.realestate.com.au/property-house-vic-drouin-144247880
"$600,000-$650,000","20 Western Barred Place, Longwarry",House,4,2,2,,,Shane Candappa,https://www.realestate.com.au/property-house-vic-longwarry-146294956
"$600,300","Lot 42 Granite Court (Nelson Village Estate), Cranbourne East",House,3,2,2,,,Jerome Duchenne,https://www.realestate.com.au/property-house-vic-cranbourne+east-146710608
$610K-$660K! Guest Bed Downstairs! Meridian,"16 Portobello Boulevard, Clyde North",House,4,3,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146292440
"$580,000 - $620,000","119 Willow Glen Boulevard, Cranbourne",House,3,2,2,,,Sushant Gupta,https://www.realestate.com.au/property-house-vic-cranbourne-146709084
"$649,000 - $675,000","2 Catees Street, Clyde North",House,3,2,2,Inspection Tue 17 Dec 5:00 pm,,Nandana Peiris,https://www.realestate.com.au/property-house-vic-clyde+north-145860868
"$550,000 - $570,000","41 Proctor Road, Longwarry",House,3,2,2,,,Karen McCormick,https://www.realestate.com.au/property-house-vic-longwarry-146438756
"$625,000 to $675,000","1 Lemon Thyme Way, Lynbrook",House,3,2,1,,,James Fernando,https://www.realestate.com.au/property-house-vic-lynbrook-145997220
"$580,000 - $620,000","23 Pendula Place, Pakenham",House,3,2,2,,,Sam Paynter,https://www.realestate.com.au/property-house-vic-pakenham-146812480
"$560,000-$616,000","21 Mortdale Lane, Clyde North",House,3,2,2,,,Kartik Sangani,https://www.realestate.com.au/property-house-vic-clyde+north-146812308
"$625,000-$650,000","37 Emberwood Road, Warragul",House,4,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-warragul-146812284
,"15 Cabernet Way, Pakenham",House,3,2,2,,,Vicky Singh,https://www.realestate.com.au/property-house-vic-pakenham-146472480
"$650,000 - $715,000","26 Maddock Drive, Cranbourne East",House,3,2,2,,,Mina Saad,https://www.realestate.com.au/property-house-vic-cranbourne+east-146287520
