Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$650,000 - $715,000","29 Pitfield Avenue, Cranbourne East",House,4,2,2,,,Jonathan Walker,176-200 of 574 properties
$650000,"1/12 Shaftesbury Street, Frankston",House,3,2,2,,,Terry Wheeler,176-200 of 574 properties
"$590,000 - $640,000","10 Clifford Drive, Drouin",House,3,2,2,,,Braeden Robbins,176-200 of 574 properties
"$650,000","29 Sinclair Street, Warragul",House,3,2,4,,,Peter Heathcote,176-200 of 574 properties
"$579,000 - $629,000","27 Bourbon Road, Cranbourne East",House,4,2,2,Inspection Thu 19 Dec 5:30 pm,,Andy Choi,176-200 of 574 properties
"$620,000 - $675,000","25 TREFELLA RISE, Drouin",House,4,2,3,,,Aman Singh,176-200 of 574 properties
"$490,000-$510,000(MUST SELL!!!)","26 Ollie Place, Cranbourne East",House,3,2,1,,,Sanjay Singh,176-200 of 574 properties
$540 000 - $580 000,"14 Western Barred Place, Longwarry",House,3,2,2,,,Brad Boyde,176-200 of 574 properties
"$570,000 to $627,000 MUST SELL","18 Cumberland Chase, Hampton Park",House,3,2,2,,,Ni Ma,176-200 of 574 properties
"$620,000 - $680,000","130a Duncan Drive, Pakenham",House,4,2,2,,,Alistair Boyle,176-200 of 574 properties
$640 000 - $680 000,"15 Skipton Street, Drouin",House,4,2,3,,,Brad Boyde,176-200 of 574 properties
"$640,000 - $680,000","23A Ti-Tree Drive, Doveton",House,3,2,1,,,Habib Sultani,176-200 of 574 properties
"$650,000 - $690,000 - LUXURY HOME","3 Amadeus Street, Clyde",House,4,2,2,,,Shan Dias,176-200 of 574 properties
"$580,000 - $600,000","106 North Road, Warragul",House,4,2,1,,,Sarah Francis,176-200 of 574 properties
,"5A Greenland Drive, Drouin",House,6,3,8,,,John Edwards,176-200 of 574 properties
"$385,000 - $420,000","1/19 Jamieson Street, Warragul",House,3,2,1,,,Kaye Dixon,176-200 of 574 properties
"$640,000-$690,000","9 McGavin Way, Cranbourne",House,3,2,2,,,Danny O'Brien,176-200 of 574 properties
"$640,000 - $670,000","7 Chive Walk, Narre Warren South",House,3,2,2,,,Naval Aulakh,176-200 of 574 properties
"$619,000 - $649,000 BRAND NEW!","5 Tines Way, Clyde North",House,3,2,1,,,Sri Muthukumar,176-200 of 574 properties
"$565,000 - $585,000","15 Williamson Street, Drouin",House,3,2,2,,,Grant Johnson,176-200 of 574 properties
"$ 640,000 to $ 670,000","8 Kate Avenue, Hampton Park",House,3,2,2,,,Rohullah Naim,176-200 of 574 properties
"$635,000 - $665,000","1 Paramount Way, Pakenham",House,3,2,2,,,Team Anita & Harpreet,176-200 of 574 properties
$585 000 - $625 000,"54B Manikato Drive, Drouin",House,3,2,2,,,Brad Boyde,176-200 of 574 properties
,"245 Saint Germain Boulevard, Clyde North",House,4,2,2,,,Chris Zhang,201-225 of 574 properties
$600K-$660K! Guest Bed Downstairs!,"4 Stonethwaite Lane, Clyde North",House,4,3,2,,,Aseem Jhanji,201-225 of 574 properties
"$580,000 - $635,000","16 Tassell Drive, Warragul",House,4,2,2,,,Vince Di Grazia,201-225 of 574 properties
,"14 Langley Way, Pakenham",House,3,2,2,,,Amanda Claridge,201-225 of 574 properties
"$610,000 - $630,000","42 Summerhill Boulevard, Drouin",House,4,2,2,,,Shane Candappa,201-225 of 574 properties
"$630,000 - $670,000","286 Golf Links Road, Narre Warren",House,3,2,2,,,Javid Zada,201-225 of 574 properties
"$600,000 - $640,000","109 McNeilly Road, Drouin",House,4,2,2,,,Dave Clark,201-225 of 574 properties
"$625,000 - $675,000","27 Rathberry Circuit, Clyde North",House,3,2,2,,,Shan Dias,201-225 of 574 properties
"$600,000 - $640,000","16 Rivendale Crescent, Drouin",House,3,2,2,,,Jo Cappola,201-225 of 574 properties
"$480,000 - $525,000(Negotiable)","2/24 Mckindlay Street, Drouin",House,3,2,2,,,Vikram Dhankhar,201-225 of 574 properties
"$629,000","10 Karrala Court, Drouin",House,4,2,2,,,Anthony Rabl,201-225 of 574 properties
"$600,000 - $660,000 unless sold prior","38 Clarendon Street, Pakenham",House,3,2,2,,,Calvin Davis,201-225 of 574 properties
