"SA1","Number","Percent (%)","Households",
"21005144313","0","0.0%","98",
"21005144314","3","1.7%","173",
"21005144315","0","0.0%","96",
"21005144316","12","8.6%","139",
"21005144317","0","0.0%","89",
"21005144318","3","1.8%","171",
"21005144319","4","2.6%","152",
"21005144320","0","0.0%","139",
"21005144321","0","0.0%","107",
"21005144322","0","0.0%","170",
"21005144324","0","0.0%","124",
"21005144325","4","2.4%","168",
"21005144326","0","0.0%","142",
"21005144327","0","0.0%","76",
"21005144328","7","3.6%","197",
"21005144329","0","0.0%","151",
"21005144330","0","0.0%","264",
"21005144331","0","0.0%","106",
"21005144332","5","4.7%","107",
"21005144333","0","0.0%","189",
"21005144334","5","3.4%","146",
"21005144336","3","3.6%","83",
"21005144337","0","0.0%","118",
"21005144338","0","0.0%","173",
"21005144339","0","0.0%","188",
"21005144340","0","0.0%","135",
"21005144341","0","0.0%","161",
"21005144342","0","0.0%","180",
"21005144343","0","0.0%","173",
"21005144344","0","0.0%","159",
"21005144345","0","0.0%","144",
"21005144346","0","0.0%","101",
"21005144347","0","0.0%","175",
"21005144348","0","0.0%","226",
"21005144349","0","0.0%","199",
"21005144503","0","0.0%","129",
"21005144505","0","0.0%","142",
"21005144506","0","0.0%","145",
"21005144507","0","0.0%","62",
"21005144508","0","0.0%","132",
"21005144509","0","0.0%","124",
"21005144510","0","0.0%","134",
"21005144511","0","0.0%","97",
"21005144512","0","0.0%","186",
"21005144513","0","0.0%","107",
"21005144514","0","0.0%","81",
"21005144515","0","0.0%","97",
"21005144516","0","0.0%","155",
"21005144517","0","0.0%","136",
"21005144518","0","0.0%","273",
"21005144519","0","0.0%","205",
"21005144520","0","0.0%","131",
"21005144521","0","0.0%","170",
"21005144522","0","0.0%","129",
"21005144523","0","0.0%","145",
"21005144524","0","0.0%","54",
"21005144525","0","0.0%","181",
"21005144526","0","0.0%","257",
"21005144527","0","0.0%","135",
"21005144528","0","0.0%","80",
"21005144529","0","0.0%","124",
"21005144530","0","0.0%","143",
"21005144531","0","0.0%","110",
"21005144532","0","0.0%","154",
"21005144533","0","0.0%","100",
"21005144534","0","0.0%","106",
"21005144535","0","0.0%","78",
"21005144536","0","0.0%","151",
"21005144537","0","0.0%","118",
"21005144538","0","0.0%","130",
"21005144539","0","0.0%","88",
"21005144540","0","0.0%","76",
"21005144541","0","0.0%","131",
"21005144542","0","0.0%","35",
"21005144543","0","0.0%","98",
"21005144544","0","0.0%","101",
"21005144545","0","0.0%","193",
"21005144546","0","0.0%","156",
"21005144547","0","0.0%","129",
"21005144548","5","4.1%","121",
"21005144549","0","0.0%","105",
"21005144550","0","0.0%","196",
"21005144551","0","0.0%","166",
"21005144552","0","0.0%","192",
"21005144553","0","0.0%","125",
"21005144554","0","0.0%","181",
"21005144555","0","0.0%","264",
"21005154201","0","0.0%","141",
